"name","section_code","origin","destination","range","road_type_id","department_couple_id"
"229I0001C","AE01","LIM. DEPARTEMENTALE","OUIDAH","16,827","1","3"
"229I0001D","AE02","OUIDAH","GODOMEY","31,172","1","3"
"229I0001E","AE03","GODOMEY","PK8 COT","18,154","1","3"
"229I0002A","AE04","GODOMEY","AKASSATO","13,996","1","3"
"229I0002A","AE04","AKASSATO","ALLADA","31,426","1","3"
"229I0002B","AE05","ALLADA","SEHOUE","38,017","1","3"
"229I0002C","AE05","SEHOUE","ZOGBODO","20,000","1","3"
"229N0001A","AE06","OUIDAH","ALLADA","35,201","1","3"
"229N0030A","AE17","PAHOU","TORI-BO","13,200","1","3"
"229N0030B","AE17","HEVIE","ABOMEY-CALAVI","19,191","1","3"
"229N0031A","AE18","MISSESS","ZINVIE","13,400","1","3"
"229N0031B","AE19","ZINVIE","ATTOGON","31,100","1","3"
"229N0031C","AE20","TANGBO","ZE","15,150","1","3"
"229N0022A","AE12","HOUEGBO","TOFFO","11,178","1","3"
"229N0001B","AE07","OUIDAH","KPOMASS","11,523","2","3"
"229N0001C","AE08","KPOMASS","ALLADA","42,041","2","3"
"229N0019A","AE09","ALLADA","SE","10,566","2","3"
"229N0019B","AE10","SE","TOFFO","9,342","2","3"
"229N0019C",AE11",TOFFO",LIM DEP","11,685","2","3"
"229N0022B","AE13","TOFFO","TOHOU","7,928","2","3"
"229N0022C","AE14","TOHOU","ADOUKAN","19,410","2","3"
"229N0029A","AE15","ALLADA","LISSEGA","9,600","2","3"
"229N0029B","AE16","LISSEGA","TORI-BO","30,250","2","3"
"229N0030B","AE17","TORI BO","HEVIE","5,909","2","3"
"229N0032A","AE21","ALLADA","TANTA A","13,900","2","3"
"229N0032B","AE22","SEKOU","ADJAN","10,200","2","3"
"229N0032C","AE22","ADJAN","ZE","4,025","2","3"
"229N0032D","AE22","ZE","AGBATA","13,875","2","3"
"229N0032E","AE22","AGBATA","SEHOUE","16,900","2","3"
"229N0033A","AE24","AKASSAT","SO AVA","4,200","2","3"
"229I0001F","OE01","PK8 COT","SEME","13,895","1","4"
"229I0001G","OE02","SEME","PT P/NO","10,101","1","4"
"229I0001H","OE03","PT P/NO","OUANDO","6,821","1","4"
"229I0001I","OE04","OUANDO","ZIAN CA","22,595","1","4"
"229I0001K","OE06","ENS P/N","AVRANKO","10,885","1","4"
"229I0001L","OE07","AVRANKOU","IGOLO","16,556","1","4"
"229I0001M","OE08","SEME","KRAKE","9,769","1","4"
"229I0004H","OE09","LIM.DEP","KETOU","15,064","1","4"
"229I0004I","OE10","KETOU","ILLARA","16,570","1","4"
"229N0003A","OE11","ZIAN","POBE","37,805","1","4"
"229N0003B","OE12","POBE","KETOU","42,821","1","4"
"229N0004A","OE13","AKPRO","ADJOHOU","24,956","1","4"
"229N0004B","OE14","ADJOHOUN","BONOU","30,610","1","4"
"229N0004C","OE15","BONOU","LIM.DEP","5,890","1","4"
"229N0039A","OE24","DJREGBE","OWODE","9,761","1","4"
"229N0028A","OE18","POBE","ADJARA-OUERRE","26,395","1","4"
"229I0001J","OE05","ZIAN","IGOLO","12,094","2","4"
"229N0026A","OE16","KETOU","EFFEOUT","44,979","2","4"
"229N0026B","OE17","EFFEOUTE","LIMITE DEPARTEMENTALE","11,377","2","4"
"229N0036A","OE19","WADON","MEDEDJO","8,868","2","4"
"229N0036B","OE20","MEDEDJO","PORTO N","8,125","2","4"
"229N0036C","OE21","ADJARRA","AKPRO-M","9,111","2","4"
"229N0037A","OE22","ADJOHOU","GBOKOTO","21,692","2","4"
"229N0038A","OE23","KATAGON","AVRANKO","10,189","2","4"
"229I0001A","MO01","HILLACONDJI","COME","37,461","1","5"
"229I0001B","MO02","COME","LIM. DEDEPARTEMENTALE","7,412","1","5"
"229I0004A","MO03","FR.TOGO","APLAHOU","9,506","1","5"
"229I0004B","MO04","APLAHOU","AZOVE","3,073","1","5"
"229I0004C","MO05","AZOVE","PTKOUFO","27,853","1","5"
"229N0002A","MO06","COME","LOKOSSA","41,050","1","5"
"229N0002C","MO08","LOKOSSA","DOGBO","20,357","1","5"
"229N0002C","MO08","DOGBO","AZOVE","19,141","1","5"
"229N0023A","MO15","COME","POSSOTO","18,050","1","5"
"229N0023B","MO16","POSSOTOME","BOPA","8,450","1","5"
"229N0023C","MO17","BOPA","ZOUGBONOU","17,025","1","5"
"229N0023F","MO20","DOGBO","TOVIKLIN","11,478","1","5"
"229N0023G","MO21","TOVIKLIN","KLOUEKANME","10,192","1","5"
"229N0023H","MO22","KLOUEKANME","ADJAHONME","8,800","1","5"
"229N0022E","MO14","LALO","KLOUEKA","7,774","1","5"
"229N0002D","MO09","FR.TOGO","ZOUNHOU","7,310","1","5"
"229N0021C","MO12","LALO","ADJASSAGON","11,616","1","5"
"229N0022D","MO13","ADOUKANDJI","LALO","11,076","1","5"
"229N0002B","MO07","LOKOSSA","APLAHOU","36,104","2","5"
"229N0021A","MO10","DOGBO","LOKOGBA","15,419","2","5"
"229N0021B","MO11","LOKOGBA","LALO","6,906","2","5"
229N0023D","MO18","BOPA","LOBOGO","8,503","2","5"
"229N0023E","MO19","LOBOGO","DOGBO","25,131","2","5"
"229N0034A","MO23","APPLAHO","ATOME","34,750","2","5"
"229N0034B","MO24","ATOME","AGONDOG","13,000","2","5"
